Date,MKT,SMB,HML FF,HML devil,RMW,CMA,RF,MOM,STR
197806,-1.69,1.56,0.57,-0.0051,-1.4,-0.07,0.54,2.74,1.35
197807,5.11,0.12,-1.15,-0.03,1.55,-0.78,0.56,4.17,0.91
197808,3.75,4.95,-0.51,-0.0043,1.43,0.46,0.56,2.83,0.87
197809,-1.43,-0.32,1.89,0.0403,-0.67,1.78,0.62,-3.14,3.65
197810,-11.91,-10.02,1.38,0.0436,0.12,0.94,0.68,-8.46,-1.84
197811,2.71,2.81,-2.15,-0.018,1.13,-1.17,0.7,5.45,9.15
197812,0.88,1.13,-2.13,-0.0301,2.01,-1.32,0.78,3.03,-0.39
197901,4.23,3.78,2.19,0.0419,-2.47,1.52,0.77,-1.36,5.62
197902,-3.56,0.54,1.17,0.0211,-1.12,0.94,0.73,-1.06,1.31
197903,5.68,3.24,-0.71,-0.0158,0.53,0.32,0.81,2.93,1.47
197904,-0.06,2.37,1.12,-0.0024,1.08,0.17,0.8,0.81,-0.4
197905,-2.21,0.18,1.31,0.0154,-1.54,-0.27,0.82,-0.54,1.17
197906,3.85,1,1.44,0.0048,-1.66,-0.52,0.81,0.84,1.19
197907,0.82,1.27,1.86,0.0139,-0.29,0.71,0.77,-1.07,0.6
197908,5.53,1.92,-1.58,-0.0197,1.62,-1.48,0.77,-0.2,0.79
197909,-0.82,-0.32,-0.9,-0.0115,1.01,0.32,0.83,5.28,-1.63
197910,-8.1,-3.5,-1.84,-0.0106,1.01,0.07,0.87,2.01,-1.94
197911,5.21,2.53,-3.29,-0.0372,0.06,-2.12,0.99,8.14,1.31
197912,1.79,4.32,-2.1,-0.0375,-0.7,-0.92,0.95,4.78,-1.89
198001,5.51,1.83,1.75,-0.0271,-1.7,1.64,0.8,7.55,-3.41
198002,-1.22,-1.57,0.61,-0.0314,0.04,2.68,0.89,7.88,-4.91
198003,-12.9,-6.93,-1.01,0.07,1.46,-1.19,1.21,-9.55,8.46
198004,3.97,1.05,1.06,0.0186,-2.1,0.29,1.26,-0.43,1.4
198005,5.26,2.11,0.38,0.0098,0.34,-0.31,0.81,-1.12,2.84
198006,3.06,1.41,-0.76,-0.0165,-0.15,-1.26,0.61,1.62,2.24
198007,6.49,3.82,-6.41,-0.0534,4.06,-2.43,0.53,0.39,2.95
198008,1.8,4.25,-2.6,-0.0321,2.06,-0.86,0.64,3.21,-0.84
198009,2.19,0.67,-4.59,-0.0428,1.91,-2.76,0.75,5.39,-1.52
198010,1.06,2.33,-2.76,-0.0507,1.65,-1.15,0.95,7.3,-1.96
198011,9.59,-3.31,-8.33,-0.1071,4.5,-5.66,0.96,15.22,-9.71
198012,-4.52,-0.29,2.79,0.0565,-1.29,1.24,1.31,-6.68,6.38
198101,-5.04,3.29,6.72,0.0889,-3.51,4.33,1.04,-7.95,-2.29
198102,0.57,-0.5,1.02,0.0105,0.21,2.22,1.07,-1.35,-2.33
198103,3.56,3.02,0.64,0.0126,-2.24,-0.54,1.21,0.74,1.59
198104,-2.11,4.59,2.28,0.023,0.83,1.24,1.08,-0.91,-1.5
198105,0.11,2.45,-0.42,-0.0121,0.3,-1.53,1.15,3.7,-3.78
198106,-2.36,-0.96,5.13,0.0686,-1.37,2.66,1.35,-5.81,4.78
198107,-1.54,-2.05,-0.5,0.0016,1.26,-2.54,1.24,-2.45,-0.56
198108,-7.04,-1.81,4.76,0.0366,-0.32,1.41,1.28,-1.15,-0.65
198109,-7.17,-2.45,5.17,0.0375,0.08,2.63,1.24,1.95,-1.11
198110,4.92,2.37,-4.21,-0.0483,3.15,-3.01,1.21,4.01,4.55
198111,3.36,-1.51,1.83,0.0305,0.08,0.95,1.07,-0.27,2.67
198112,-3.65,1.2,0.81,0.0054,0.22,2.5,0.87,1.3,1.66
198201,-3.24,-1.14,3.19,0.0241,-1.49,1.92,0.8,1.72,-1.37
198202,-5.86,0.35,6.05,0.0405,-3.48,4.56,0.92,4.88,-4.31
198203,-1.87,-0.05,3.81,0.0271,-1.38,2.49,0.98,2.96,-1.89
198204,3.27,1.09,-2.7,-0.0199,1.57,-0.01,1.13,-0.4,1.65
198205,-3.99,0.64,1.75,0.0203,0.87,-0.3,1.06,2.5,1.99
198206,-3.09,-0.52,1.53,0.0008,0.01,2.72,0.96,4.96,0.15
198207,-3.19,0.95,0.09,-0.0107,1.04,1.55,1.05,4.45,-2.88
198208,11.14,-4.35,0.95,0.0229,-1.89,0.09,0.76,-3.52,1.14
198209,1.29,2.61,0.28,-0.0018,2.14,-0.04,0.51,4.19,4.52
198210,11.3,1.92,-3.66,-0.0268,0.29,-0.34,0.59,0.18,2.97
198211,4.67,4.43,-1.87,-0.0435,-0.97,0.27,0.63,5.95,-4.48
198212,0.55,-0.04,-0.02,0.0098,-0.01,1.02,0.67,0.04,3.8
198301,3.6,3.35,-0.75,0.0131,-1.55,-0.58,0.69,-1.73,3.18
198302,2.59,2.92,0.7,-0.0087,-0.52,1.05,0.62,3.77,2.63
198303,2.82,1.37,2.02,0.0152,-0.17,2.74,0.63,0.92,0.34
198304,6.67,0.48,0.49,0.0036,-0.11,1.42,0.71,1.72,-0.55
198305,0.52,6.3,-1.4,0.0031,-1.84,-1.51,0.69,-1.56,2.73
198306,3.07,1.18,-3.9,-0.0394,2.6,-0.87,0.67,1.8,0.18
198307,-4.07,1.01,5.62,0.0588,-0.14,2.81,0.74,-3.13,2.04
198308,-0.5,-4.32,5.54,0.0527,0.51,1.9,0.76,-5.43,-0.65
198309,0.91,0.3,1.01,0.0141,1.24,0.5,0.76,-0.03,2.36
198310,-3.44,-3.77,4.97,0.0505,-0.77,2.96,0.76,-4.52,-1.63
198311,2.16,1.87,-0.72,-0.0016,-0.67,0.66,0.7,-0.13,4.94
198312,-1.78,-0.45,1.73,0.0197,1.64,1.27,0.73,0.84,1.97
198401,-1.92,-0.04,7.58,0.0927,-0.89,2.92,0.76,-2.56,0.64
198402,-4.82,-1.59,3.33,0.0315,0.9,1.58,0.71,0.22,-2.06
198403,0.63,-0.29,0.46,0.005,-0.96,1.17,0.73,1.07,2.51
198404,-0.51,-0.95,1.2,-0.0019,3.34,0.76,0.81,2.07,1.61
198405,-5.97,0.13,0.31,0.0042,2.36,-0.46,0.78,1.51,0.81
198406,1.82,0.11,-2.66,-0.0284,3.17,-1.56,0.75,-0.7,0.96
198407,-2.74,-2.22,0.36,0.0066,3.55,-2.15,0.82,2.85,-1.45
198408,10.28,-0.26,-1.82,-0.0003,-0.68,-0.92,0.83,-5.59,7.29
198409,-0.8,-0.03,5.28,0.0472,1.37,2.41,0.86,3.62,4.28
198410,-0.84,-1.44,0.45,0.0042,1.18,-1.09,1,3.16,-1.21
198411,-1.76,-1.02,4.06,0.0365,0.72,2.06,0.73,1.64,-0.67
198412,1.84,-0.65,-0.26,-0.0054,1.31,-1.36,0.64,1.49,0.8
198501,7.99,3.51,-5.35,-0.0257,-0.89,-3.41,0.65,-6.82,2.32
198502,1.22,1.04,-0.1,-0.0058,1.29,1.06,0.58,1.88,2.5
198503,-0.84,-1.39,4.07,0.0316,1.23,2.88,0.62,1.58,-1.37
198504,-0.96,-0.1,3.72,0.0223,1.55,0.71,0.72,3.04,-2.46
198505,5.09,-2.31,-0.96,-0.0137,1.33,-1.49,0.66,3.99,-0.54
198506,1.27,0.35,0.38,-0.0099,1.76,-0.77,0.55,3.57,-0.67
198507,-0.74,2.87,-1.62,-0.0059,-0.42,-0.38,0.62,-3.91,3.62
198508,-1.02,-0.29,2.32,0.0177,-0.1,1.83,0.55,1.85,1.77
198509,-4.54,-1.8,1.29,0.0074,1.14,1.64,0.6,1.51,-1.85
198510,4.02,-1.5,0.75,-0.0039,0.89,-1.06,0.65,4.88,0.66
198511,6.48,0.02,-2.85,-0.0234,0.33,-2.32,0.61,-0.47,2.41
198512,3.88,-0.41,-1.54,-0.0113,0.99,-1.8,0.65,-0.23,-0.34
198601,0.65,1.01,0.44,-0.0064,-2,-2.03,0.56,3,0.84
198602,7.13,-0.71,-0.72,-0.0222,1.06,-1.2,0.53,2.76,-1.69
198603,4.88,-0.66,-0.39,-0.0065,1.21,0.92,0.6,2.41,-0.07
198604,-1.31,2.84,-2.87,-0.0297,2.91,0.03,0.52,-0.37,2.82
198605,4.62,-1.29,-0.21,-0.0032,2.13,1.08,0.49,2.05,1.05
198606,1.03,-0.89,1.28,-0.0118,1.8,0.87,0.52,5.07,-2.48
198607,-6.45,-3.46,4.7,0.0336,-0.54,0.84,0.52,1.83,-2.86
198608,6.07,-4.35,3.51,0.0584,-1.66,3.21,0.46,-5.28,1.14
198609,-8.6,2.05,3.22,0.0516,-0.08,3.71,0.45,-5.79,-0.31
198610,4.66,-2.33,-1.42,-0.0144,-0.05,1,0.46,4.46,3.58
198611,1.17,-1.88,-0.07,0.0033,1.09,0.67,0.39,-0.26,0.71
198612,-3.27,0.12,0.36,-0.0003,0.79,0.09,0.49,0.35,0.61
198701,12.47,-1.54,-3.16,-0.0223,0.17,-1,0.42,2.2,0.31
198702,4.39,3.4,-5.91,-0.0507,-0.76,-2.66,0.43,-2.07,-1.11
198703,1.64,0.28,1.61,0.0178,1.36,4.14,0.47,1.68,1.81
198704,-2.11,-1.54,-0.39,0.0057,-0.49,1.05,0.44,0.22,-1.9
198705,0.11,-0.56,0.23,0.0148,0.51,1.14,0.38,-0.74,-0.3
198706,3.94,-2.21,1.04,0.0113,1.7,0.84,0.48,-0.25,0.01
198707,3.85,-1.14,0.68,-0.0056,-0.61,1.61,0.46,2.72,-0.22
198708,3.52,-0.94,-0.93,-0.0055,2.04,-1.61,0.47,-0.86,2.45
198709,-2.59,0.38,0.27,-0.0014,-0.97,1.87,0.45,0.77,-0.4
198710,-23.24,-8.07,4.24,0.0848,2.04,2.34,0.6,-7.86,-0.13
198711,-7.77,2.85,2.95,0.0207,-1.88,0.68,0.35,-1.17,-0.87
